,laptop_ID,Company,TypeName,Inches,Ram,Memory,OpSys,Weight,Price_euros,Memory Type,Screen Width,Screen Height,Screen Type,CPU Clock Speed,GPU Type,CPU Type
209,213,Lenovo,Notebook,15.6,8,256.0,Windows 10,2.2,597.0,SSD,1366,768,Plain,2.5,Intel,Intel
210,215,Acer,Notebook,15.6,8,1024.0,Linux,2.4,779.0,HDD,1920,1080,Full HD,2.8,Nvidia,Intel
211,216,Asus,Gaming,17.3,16,256.0,Windows 10,2.9,1407.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
212,217,HP,Notebook,15.6,4,500.0,No OS,2.1,349.0,HDD,1920,1080,Full HD,2.0,Intel,Intel
213,218,Lenovo,Notebook,15.6,8,256.0,No OS,2.2,549.0,SSD,1920,1080,Full HD,2.5,Intel,Intel
214,219,Huawei,Ultrabook,13.0,8,512.0,Windows 10,1.05,1499.0,SSD,2160,1440,IPS Panel,2.7,Intel,Intel
215,220,Dell,Ultrabook,13.3,8,256.0,Windows 10,1.4,931.88,SSD,1920,1080,IPS Panel,1.8,AMD,Intel
216,221,Lenovo,Notebook,17.3,8,1024.0,No OS,2.8,589.0,HDD,1600,900,Plain,2.5,Nvidia,Intel
217,222,HP,Notebook,14.0,8,256.0,Windows 10,1.63,1031.0,SSD,1920,1080,Full HD,1.8,Nvidia,Intel
218,223,Dell,Ultrabook,14.0,8,256.0,Windows 10,1.6,1149.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
219,224,Dell,2 in 1 Convertible,13.3,16,512.0,Windows 10,1.62,1279.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
220,225,Dell,Notebook,15.6,8,256.0,Linux,2.2,677.35,SSD,1920,1080,Full HD,1.6,AMD,Intel
221,226,Lenovo,2 in 1 Convertible,14.0,8,256.0,Windows 10,1.74,899.0,SSD,1920,1080,IPS Panel,1.6,Intel,Intel
222,227,Toshiba,Ultrabook,13.3,8,256.0,Windows 10,1.2,1363.0,SSD,1920,1080,Full HD,2.5,Intel,Intel
223,228,HP,Notebook,15.6,8,1024.0,Windows 10,2.1,794.0,HDD,1920,1080,Full HD,1.6,Intel,Intel
224,229,Dell,Gaming,17.3,16,256.0,Windows 10,4.42,2456.34,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
225,230,Acer,Notebook,15.6,8,256.0,Windows 10,2.2,832.0,SSD,1920,1080,Full HD,2.7,Nvidia,Intel
226,231,Dell,Notebook,15.6,16,1024.0,Windows 10,2.3,859.01,HDD,1920,1080,Full HD,2.7,AMD,Intel
227,232,Asus,Notebook,15.6,8,256.0,Windows 10,2.0,769.0,SSD,1920,1080,Full HD,2.5,Nvidia,Intel
228,233,Asus,Notebook,17.3,8,256.0,Windows 10,2.69,891.0,SSD,1920,1080,Full HD,2.5,Nvidia,Intel
229,234,HP,Notebook,15.6,8,1024.0,Windows 10,1.9,1269.0,HDD,1920,1080,Full HD,2.7,AMD,Intel
230,235,Asus,Notebook,15.6,4,1024.0,Windows 10,2.37,398.99,HDD,1366,768,Plain,2.4,Intel,Intel
231,236,HP,Notebook,15.6,4,500.0,Windows 10,2.1,330.0,HDD,1366,768,Plain,1.5,AMD,AMD
232,237,Lenovo,Gaming,15.6,16,256.0,Windows 10,3.2,1499.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
233,238,Dell,Notebook,14.0,8,256.0,Windows 10,1.6,859.0,SSD,1920,1080,Full HD,2.5,Intel,Intel
234,239,Acer,2 in 1 Convertible,13.3,8,256.0,Windows 10,1.6,689.0,SSD,1920,1080,IPS Panel,2.3,Intel,Intel
235,240,Dell,Notebook,15.6,16,256.0,Linux,2.36,899.0,SSD,1920,1080,Full HD,2.7,AMD,Intel
236,241,Acer,Notebook,15.6,4,1024.0,Linux,2.1,390.0,HDD,1366,768,Plain,2.0,Intel,Intel
237,242,Asus,Notebook,15.6,4,128.0,Windows 10,2.2,575.0,SSD,1920,1080,Full HD,2.5,AMD,AMD
238,243,Asus,Gaming,17.3,32,512.0,Windows 10,4.7,3890.0,SSD,1920,1080,Full HD,2.9,Nvidia,Intel
239,244,Acer,Gaming,15.6,8,256.0,Windows 10,2.5,846.0,SSD,1920,1080,IPS Panel,2.5,Nvidia,Intel
240,245,Lenovo,Notebook,15.6,8,128.0,Windows 10,2.2,589.0,SSD,1366,768,Plain,2.0,Intel,Intel
241,246,Asus,Notebook,17.3,8,128.0,Windows 10,2.1,1145.0,SSD,1920,1080,Full HD,1.8,Nvidia,Intel
242,247,Asus,Notebook,17.3,8,128.0,No OS,2.69,889.0,SSD,1920,1080,Full HD,2.7,Nvidia,Intel
243,248,Dell,Gaming,15.6,8,256.0,Windows 10,2.56,879.0,SSD,1920,1080,Full HD,2.5,Nvidia,Intel
244,249,Lenovo,2 in 1 Convertible,13.9,8,256.0,Windows 10,1.38,1079.0,SSD,1920,1080,IPS Panel,2.7,Intel,Intel
245,250,Dell,Notebook,15.6,8,128.0,Windows 10,2.2,985.0,SSD,1920,1080,Full HD,1.8,AMD,Intel
246,251,HP,Notebook,15.6,8,1024.0,Windows 10,2.04,559.0,HDD,1366,768,Touchscreen,2.5,Intel,Intel
247,252,Asus,Gaming,17.3,16,256.0,Windows 10,3.6,2999.0,SSD,1920,1080,Full HD,2.9,Nvidia,Intel
248,253,HP,Notebook,13.3,4,500.0,Windows 10,1.49,675.0,HDD,1920,1080,IPS Panel,1.6,Intel,Intel
249,254,Apple,Ultrabook,13.3,8,512.0,macOS,1.37,2040.0,SSD,2560,1600,IPS Panel,3.1,Intel,Intel
250,255,Dell,2 in 1 Convertible,15.6,8,1024.0,Windows 10,2.08,819.0,HDD,1920,1080,IPS Panel,1.8,Intel,Intel
251,256,Asus,Gaming,17.3,16,256.0,Windows 10,4.3,1799.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
252,257,Asus,Notebook,15.6,4,1024.0,Windows 10,1.68,469.0,HDD,1366,768,Plain,3.0,AMD,AMD
253,258,Lenovo,2 in 1 Convertible,13.9,8,512.0,Windows 10,1.37,1849.0,SSD,1920,1080,IPS Panel,1.8,Intel,Intel
254,259,Acer,Notebook,17.3,4,256.0,Windows 10,3.0,702.0,SSD,1920,1080,IPS Panel,2.7,Nvidia,Intel
255,260,Dell,Ultrabook,13.3,8,256.0,Windows 10,1.41,949.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
256,261,HP,Notebook,15.6,8,128.0,Windows 10,1.91,445.9,SSD,1366,768,Plain,2.5,AMD,AMD
257,262,HP,Notebook,17.3,16,1024.0,Windows 10,2.9,1059.0,HDD,1920,1080,IPS Panel,1.8,Nvidia,Intel
258,263,MSI,Gaming,17.3,16,512.0,Windows 10,4.14,2499.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
259,264,Lenovo,2 in 1 Convertible,15.6,8,512.0,Windows 10,2.0,1699.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
260,265,Dell,Notebook,17.3,8,128.0,Windows 10,2.8,1142.0,SSD,1920,1080,Full HD,1.8,AMD,Intel
261,266,Lenovo,Notebook,15.6,4,256.0,No OS,2.2,444.0,SSD,1920,1080,Full HD,2.0,Intel,Intel
262,267,HP,Notebook,15.6,4,500.0,Windows 10,2.1,722.0,HDD,1920,1080,IPS Panel,1.6,Intel,Intel
263,268,Dell,Notebook,15.6,4,1024.0,Windows 10,2.18,657.0,HDD,1920,1080,Full HD,2.5,Intel,Intel
264,269,Dell,Notebook,15.6,8,1024.0,Windows 10,2.24,565.0,HDD,1920,1080,Full HD,2.5,AMD,Intel
265,270,Dell,2 in 1 Convertible,15.6,8,256.0,Windows 10,2.67,799.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
266,271,Asus,2 in 1 Convertible,13.3,8,512.0,Windows 10,1.1,1499.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
267,272,Lenovo,Notebook,15.6,4,1024.0,No OS,2.2,467.0,HDD,1920,1080,Full HD,2.5,Intel,Intel
268,273,HP,Notebook,17.3,8,1024.0,Windows 10,2.5,1018.0,HDD,1920,1080,Full HD,1.8,Nvidia,Intel
269,274,Lenovo,Notebook,15.6,8,256.0,Windows 10,2.05,880.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
270,275,Apple,Ultrabook,13.3,8,512.0,macOS,1.37,1958.9,SSD,2560,1600,IPS Panel,2.9,Intel,Intel
271,276,Asus,Gaming,17.3,16,256.0,Windows 10,3.2,1549.0,SSD,1920,1080,Full HD,3.0,AMD,AMD
272,277,Dell,Notebook,15.6,8,256.0,Linux,2.14,735.07,SSD,1920,1080,Full HD,1.8,AMD,Intel
273,278,Lenovo,2 in 1 Convertible,14.0,16,512.0,Windows 10,1.36,2499.0,SSD,2560,1440,Touchscreen,2.6,Intel,Intel
274,279,Toshiba,Notebook,15.6,8,500.0,Windows 10,2.2,812.0,HDD,1366,768,Plain,2.5,Nvidia,Intel
275,280,Dell,Notebook,15.6,12,1024.0,Windows 10,2.3,713.07,HDD,1366,768,Plain,2.7,Intel,Intel
276,281,Dell,Notebook,17.3,8,128.0,Linux,2.8,1099.0,SSD,1920,1080,Full HD,1.8,AMD,Intel
277,282,Acer,Notebook,15.6,8,1024.0,Windows 10,2.2,745.0,HDD,1920,1080,IPS Panel,1.8,Nvidia,Intel
278,283,Lenovo,Notebook,17.3,4,1024.0,Windows 10,2.8,489.0,HDD,1600,900,Plain,2.0,Intel,Intel
279,284,Lenovo,Notebook,17.3,8,2048.0,No OS,2.8,849.0,HDD,1920,1080,Full HD,1.8,Nvidia,Intel
280,285,Lenovo,Notebook,17.3,6,128.0,Windows 10,2.8,859.0,SSD,1600,900,Plain,2.7,Nvidia,Intel
281,286,Dell,Notebook,15.6,4,1024.0,Linux,2.25,428.0,HDD,1920,1080,Full HD,2.0,AMD,Intel
282,287,Lenovo,Gaming,15.6,8,256.0,Windows 10,2.5,829.0,SSD,1920,1080,IPS Panel,2.5,Nvidia,Intel
283,288,Lenovo,Notebook,15.6,6,256.0,Windows 10,2.2,579.0,SSD,1920,1080,Full HD,2.5,Intel,Intel
284,289,Acer,Notebook,15.6,8,256.0,Windows 10,3.0,951.0,SSD,1920,1080,IPS Panel,1.8,Nvidia,Intel
285,290,Acer,Notebook,15.6,12,1024.0,Windows 10,2.15,659.0,HDD,1920,1080,IPS Panel,2.7,Intel,Intel
286,291,Lenovo,Notebook,15.6,8,256.0,Windows 10,1.95,1097.0,SSD,1920,1080,IPS Panel,2.7,Intel,Intel
287,292,Asus,Ultrabook,15.6,8,256.0,Windows 10,1.7,977.0,SSD,1920,1080,Full HD,2.5,Nvidia,Intel
288,293,Lenovo,Gaming,15.6,16,256.0,Windows 10,2.5,1179.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
289,294,Lenovo,Notebook,15.6,8,1024.0,No OS,2.2,659.01,HDD,1920,1080,Full HD,2.7,Nvidia,Intel
290,295,Acer,Notebook,15.6,2,16.0,Chrome OS,2.19,199.0,SSD,1366,768,Plain,1.5,Intel,Intel
291,296,Asus,Gaming,17.3,8,1024.0,Windows 10,3.0,1187.0,HDD,1920,1080,Full HD,2.8,Nvidia,Intel
292,297,HP,Notebook,17.3,8,1024.0,Windows 10,2.54,489.0,HDD,1600,900,Plain,2.0,Intel,Intel
293,298,Dell,Notebook,15.6,8,256.0,Windows 10,2.0,1829.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
294,299,Lenovo,Notebook,15.6,8,256.0,Windows 10,2.05,739.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
295,300,Lenovo,Gaming,15.6,8,1024.0,Windows 10,3.2,1299.0,HDD,1920,1080,IPS Panel,2.8,Nvidia,Intel
296,301,Acer,Notebook,15.6,8,256.0,Linux,2.5,979.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
297,302,Dell,Workstation,17.3,16,256.0,Windows 10,3.42,2884.86,SSD,1920,1080,Full HD,2.9,Nvidia,Intel
298,303,Lenovo,Notebook,15.6,6,1024.0,Windows 10,2.4,499.0,HDD,1920,1080,Full HD,2.4,AMD,AMD
299,304,Asus,Ultrabook,15.6,16,512.0,Windows 10,1.63,1468.0,SSD,1920,1080,Full HD,2.7,Nvidia,Intel
300,305,Asus,Notebook,14.0,4,128.0,Windows 10,1.3,509.0,SSD,1366,768,Plain,2.4,Intel,Intel
301,306,Asus,Gaming,17.3,16,256.0,Windows 10,2.9,2122.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
302,307,Lenovo,Notebook,17.3,6,1024.0,Windows 10,2.8,649.0,HDD,1600,900,Plain,2.5,Nvidia,Intel
303,308,Lenovo,Notebook,15.6,8,2048.0,No OS,2.2,549.0,HDD,1366,768,Plain,2.5,Nvidia,Intel
304,309,Asus,Gaming,15.6,8,128.0,Windows 10,2.5,1265.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
305,310,Lenovo,Notebook,15.6,4,1024.0,No OS,2.2,359.99,HDD,1366,768,Plain,1.1,Intel,Intel
306,311,HP,2 in 1 Convertible,13.3,16,256.0,Windows 10,1.28,1975.0,SSD,1920,1080,Full HD,2.8,Intel,Intel
307,312,Toshiba,Notebook,15.6,8,256.0,Windows 10,2.2,1043.0,SSD,1920,1080,IPS Panel,2.5,Nvidia,Intel
308,313,Lenovo,Notebook,15.6,8,128.0,Windows 10,2.3,819.0,SSD,1920,1080,Full HD,2.5,Nvidia,Intel
309,314,HP,Notebook,15.6,4,1024.0,Windows 10,1.86,469.0,HDD,1920,1080,Full HD,2.0,Intel,Intel
310,315,Lenovo,Notebook,13.3,8,256.0,Windows 10,1.1,999.0,SSD,1920,1080,IPS Panel,2.5,Intel,Intel
311,316,Dell,Ultrabook,13.3,16,1024.0,Windows 10,1.21,2499.0,SSD,3840,2160,IPS Panel,1.8,Intel,Intel
312,317,MSI,Gaming,15.6,16,256.0,Windows 10,2.8,2099.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
313,318,Acer,Notebook,15.6,8,256.0,Windows 10,2.23,469.0,SSD,1920,1080,Full HD,2.2,AMD,AMD
314,319,Asus,2 in 1 Convertible,11.6,2,32.0,Windows 10,1.1,275.0,Flash,1366,768,Touchscreen,1.1,Intel,Intel
315,320,Dell,Notebook,15.6,8,128.0,Windows 10,2.33,844.0,SSD,1920,1080,Full HD,1.6,AMD,Intel
316,321,HP,2 in 1 Convertible,13.3,16,1024.0,Windows 10,1.29,2449.0,SSD,3840,2160,IPS Panel,1.8,Intel,Intel
317,322,Lenovo,Notebook,13.3,4,16.0,Chrome OS,1.45,459.9,Flash,1366,768,Plain,1.6,Intel,Intel
318,323,HP,Notebook,14.0,8,256.0,Windows 10,1.95,980.0,SSD,1920,1080,Full HD,2.5,Intel,Intel
319,324,Acer,Notebook,11.6,4,128.0,Windows 10,1.4,485.0,Flash,1366,768,Plain,1.6,Intel,Intel
320,325,HP,Notebook,14.0,8,256.0,Windows 10,1.48,1292.0,SSD,1920,1080,Full HD,2.7,Intel,Intel
321,326,Lenovo,Notebook,17.3,4,1024.0,Windows 10,2.79,589.0,HDD,1600,900,Plain,2.5,Nvidia,Intel
322,327,Asus,Notebook,14.0,8,256.0,Windows 10,2.0,1094.0,SSD,1920,1080,Full HD,2.7,Intel,Intel
323,329,HP,Notebook,15.6,8,1024.0,Windows 10,2.1,902.0,HDD,1366,768,IPS Panel,1.8,Intel,Intel
324,330,Acer,Notebook,15.6,8,256.0,Windows 10,2.2,659.0,SSD,1366,768,Plain,2.7,AMD,AMD
325,331,Lenovo,Notebook,14.0,4,32.0,Windows 10,1.44,292.0,Flash,1366,768,Plain,1.1,Intel,Intel
326,332,Acer,Notebook,15.6,6,1024.0,Windows 10,2.23,549.0,HDD,1366,768,Plain,2.5,Intel,Intel
327,333,Asus,Ultrabook,15.6,8,256.0,Windows 10,1.7,1049.9,SSD,1920,1080,Full HD,2.7,Nvidia,Intel
328,334,HP,Ultrabook,12.5,8,256.0,Windows 10,1.26,1335.0,SSD,1920,1080,Full HD,2.7,Intel,Intel
329,335,Dell,Notebook,15.6,32,1024.0,Windows 10,2.06,2639.0,SSD,3840,2160,4K Ultra,2.8,Nvidia,Intel
330,336,MSI,Gaming,17.3,8,256.0,Windows 10,2.7,1199.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
331,337,Toshiba,Notebook,15.6,8,256.0,Windows 10,2.0,943.0,SSD,1920,1080,IPS Panel,2.5,Intel,Intel
332,338,Asus,Notebook,14.0,8,256.0,Windows 10,2.0,1334.0,SSD,1920,1080,Full HD,2.7,Intel,Intel
333,339,Lenovo,Notebook,15.6,4,1024.0,Windows 10,1.85,449.0,HDD,1920,1080,Full HD,2.0,Intel,Intel
334,340,Asus,Gaming,15.6,8,256.0,Windows 10,2.5,999.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
335,341,HP,Notebook,14.0,8,256.0,Windows 10,1.48,1268.0,SSD,1920,1080,Full HD,2.6,Intel,Intel
336,342,Dell,Ultrabook,15.6,8,128.0,Windows 10,1.9,1049.0,SSD,1920,1080,IPS Panel,1.6,Nvidia,Intel
337,343,HP,Notebook,15.6,8,256.0,Windows 10,1.84,1144.0,SSD,1920,1080,Full HD,2.5,Intel,Intel
338,344,Asus,Notebook,15.6,4,1024.0,Linux,2.0,274.99,HDD,1366,768,Plain,1.1,Intel,Intel
339,345,Dell,Notebook,15.6,8,256.0,Windows 10,2.0,1142.75,SSD,1920,1080,Full HD,1.6,Nvidia,Intel
340,346,Dell,Notebook,15.6,4,500.0,Linux,2.2,274.9,HDD,1366,768,Plain,1.6,Intel,Intel
341,347,Lenovo,Notebook,15.6,12,2048.0,Windows 10,2.2,899.0,HDD,1920,1080,Full HD,3.6,AMD,AMD
342,348,HP,Notebook,15.6,8,1024.0,Windows 10,2.1,716.0,HDD,1920,1080,IPS Panel,2.4,Nvidia,Intel
343,349,Lenovo,2 in 1 Convertible,13.9,16,512.0,Windows 10,1.4,2099.0,SSD,3840,2160,IPS Panel,1.8,Intel,Intel
344,350,Dell,Ultrabook,13.3,8,256.0,Windows 10,1.2,1579.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
345,351,Lenovo,Gaming,15.6,16,256.0,Windows 10,2.4,1129.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
346,352,HP,Notebook,14.0,2,32.0,Windows 10,1.44,279.0,Flash,1366,768,Plain,1.6,Intel,Intel
347,353,Dell,Ultrabook,15.6,16,512.0,Windows 10,1.88,1607.96,SSD,1920,1080,Full HD,1.9,Intel,Intel
348,354,Asus,2 in 1 Convertible,11.6,4,32.0,Windows 10,1.5,375.0,Flash,1366,768,Touchscreen,1.1,Intel,Intel
349,355,Dell,Ultrabook,15.6,8,1024.0,Windows 10,1.9,663.0,HDD,1920,1080,Full HD,1.6,AMD,Intel
350,356,Dell,Notebook,15.6,16,512.0,Windows 10,2.06,2027.42,SSD,3840,2160,4K Ultra,2.8,Nvidia,Intel
351,357,HP,Notebook,15.6,8,256.0,Windows 10,1.84,1304.0,SSD,1920,1080,Full HD,2.7,Intel,Intel
352,358,MSI,Gaming,17.3,8,128.0,Windows 10,2.7,1409.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
353,359,HP,Workstation,15.6,8,256.0,Windows 10,2.6,1738.27,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
354,360,Toshiba,Notebook,15.6,16,512.0,Windows 10,2.4,1403.0,SSD,1920,1080,IPS Panel,2.5,Nvidia,Intel
355,361,Dell,Notebook,15.6,8,128.0,Windows 10,2.02,970.9,SSD,1920,1080,Full HD,1.8,AMD,Intel
356,362,Lenovo,Notebook,15.6,4,1024.0,No OS,2.2,321.99,HDD,1366,768,Plain,1.1,Intel,Intel
357,363,Dell,Gaming,15.6,8,1024.0,Windows 10,2.65,999.0,HDD,1920,1080,Full HD,2.5,Nvidia,Intel
358,364,Dell,Notebook,15.6,8,2048.0,Windows 10,2.36,557.37,HDD,1366,768,Touchscreen,2.5,Intel,Intel
359,365,Dell,Notebook,14.0,8,256.0,Windows 10,1.36,1427.0,SSD,1920,1080,Full HD,2.6,Intel,Intel
360,366,HP,Notebook,15.6,4,500.0,Windows 10,1.86,439.0,HDD,1366,768,Plain,2.0,Intel,Intel
361,367,Asus,Notebook,14.0,8,256.0,Windows 10,2.0,945.0,SSD,1920,1080,Full HD,2.5,Intel,Intel
362,368,Lenovo,Notebook,17.3,6,128.0,Windows 10,2.8,719.0,SSD,1600,900,Plain,2.5,Nvidia,Intel
363,369,HP,Notebook,15.6,8,1024.0,Windows 10,1.86,639.0,HDD,1920,1080,Full HD,2.5,Intel,Intel
364,370,Lenovo,Notebook,15.6,8,256.0,No OS,2.2,499.0,SSD,1366,768,Plain,2.0,Nvidia,Intel
365,371,HP,Notebook,15.6,8,2048.0,Windows 10,2.04,389.0,HDD,1366,768,Plain,1.6,Intel,Intel
366,372,Dell,Notebook,17.3,8,128.0,Windows 10,2.8,1085.0,SSD,1920,1080,Full HD,1.6,AMD,Intel
367,373,Lenovo,Gaming,15.6,8,128.0,No OS,2.4,809.0,SSD,1920,1080,IPS Panel,2.5,Nvidia,Intel
368,374,Dell,Notebook,15.6,8,256.0,Windows 10,2.33,899.0,SSD,1920,1080,Full HD,2.7,AMD,Intel
369,375,HP,Ultrabook,14.0,8,256.0,Windows 10,1.36,1750.0,SSD,1920,1080,IPS Panel,2.7,Intel,Intel
370,376,Asus,2 in 1 Convertible,15.6,12,512.0,Windows 10,2.26,1099.0,SSD,1920,1080,Full HD,2.7,Nvidia,Intel
371,377,Acer,Notebook,15.6,4,128.0,Windows 10,2.1,426.0,SSD,1366,768,Plain,3.0,AMD,AMD
372,378,Asus,Gaming,17.3,16,256.0,Windows 10,3.25,2199.0,SSD,1920,1080,IPS Panel,3.0,AMD,AMD
373,379,Lenovo,Notebook,17.3,4,128.0,Windows 10,2.6,489.0,SSD,1600,900,Plain,2.2,AMD,AMD
374,380,Dell,2 in 1 Convertible,13.3,8,256.0,Windows 10,1.62,869.01,SSD,1920,1080,Full HD,1.8,Intel,Intel
375,381,HP,Notebook,15.6,4,256.0,Windows 10,1.91,488.99,SSD,1920,1080,Full HD,3.0,AMD,AMD
376,382,Lenovo,Netbook,11.6,4,128.0,Windows 10,1.59,553.0,SSD,1366,768,IPS Panel,1.1,Intel,Intel
377,383,Dell,Notebook,15.6,4,500.0,Windows 10,1.8,309.0,HDD,1366,768,Plain,1.6,Intel,Intel
378,384,Asus,Notebook,14.0,4,32.0,Windows 10,1.5,286.0,Flash,1366,768,Plain,1.1,Intel,Intel
379,385,Acer,Notebook,15.6,8,1024.0,Linux,2.4,846.0,HDD,1920,1080,Full HD,2.8,Nvidia,Intel
380,386,HP,Gaming,17.3,8,128.0,Windows 10,3.35,1191.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
381,387,Lenovo,Notebook,15.6,4,128.0,No OS,1.85,403.5,SSD,1920,1080,Full HD,2.0,Intel,Intel
382,388,Asus,Gaming,15.6,8,128.0,Windows 10,2.3,1655.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
383,389,Lenovo,Notebook,14.0,8,256.0,Windows 10,1.5,1099.0,SSD,1920,1080,IPS Panel,2.5,Nvidia,Intel
384,390,Asus,Ultrabook,13.3,16,512.0,Windows 10,1.1,1748.9,SSD,1920,1080,Full HD,2.7,Intel,Intel
385,391,Lenovo,Ultrabook,14.0,8,512.0,Windows 10,1.13,2282.0,SSD,2560,1440,IPS Panel,2.7,Intel,Intel
386,392,Lenovo,Notebook,13.3,4,128.0,Windows 10,1.5,549.0,SSD,1920,1080,IPS Panel,2.4,Intel,Intel
387,393,Dell,Workstation,15.6,8,500.0,Windows 10,2.23,1369.0,HDD,1920,1080,Full HD,2.6,AMD,Intel
388,394,Dell,Workstation,15.6,8,256.0,Windows 10,2.0,2135.0,SSD,1920,1080,IPS Panel,2.7,Nvidia,Intel
389,395,Lenovo,2 in 1 Convertible,14.0,16,512.0,Windows 10,1.42,2509.0,SSD,2560,1440,Touchscreen,2.7,Intel,Intel
390,396,Asus,Gaming,17.3,8,1024.0,Windows 10,3.0,1039.0,HDD,1920,1080,Full HD,2.8,Nvidia,Intel
391,397,Asus,Gaming,17.3,16,256.0,Windows 10,3.0,1591.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
392,399,Acer,Notebook,15.6,12,1024.0,Windows 10,2.2,693.99,HDD,1366,768,IPS Panel,1.6,Nvidia,Intel
393,400,MSI,Gaming,17.3,8,256.0,Windows 10,2.7,1349.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
394,401,Dell,Notebook,15.6,8,256.0,Linux,2.33,778.87,SSD,1920,1080,Full HD,2.7,AMD,Intel
395,402,HP,Ultrabook,15.6,4,256.0,Windows 10,1.91,499.0,SSD,1920,1080,Full HD,3.0,AMD,AMD
396,403,Lenovo,Notebook,15.6,8,256.0,Windows 10,2.1,1229.56,SSD,1920,1080,IPS Panel,1.8,AMD,Intel
397,404,Lenovo,Notebook,14.0,8,256.0,Windows 10,1.9,938.0,SSD,1920,1080,IPS Panel,2.5,Intel,Intel
398,405,Dell,Workstation,15.6,8,256.0,Windows 10,1.78,2712.0,SSD,3840,2160,4K Ultra,2.8,Nvidia,Intel
399,406,Lenovo,Ultrabook,14.0,16,1024.0,Windows 10,1.13,2625.0,SSD,2560,1440,IPS Panel,2.7,Intel,Intel
400,407,Lenovo,Notebook,15.6,4,1024.0,Windows 10,2.2,306.0,HDD,1366,768,Plain,1.1,Intel,Intel
401,408,Asus,Gaming,17.3,16,256.0,Windows 10,2.9,1529.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
402,409,Lenovo,Notebook,15.6,8,256.0,Windows 10,2.1,1144.5,SSD,1920,1080,IPS Panel,1.6,AMD,Intel
403,410,Acer,Notebook,15.6,8,256.0,Linux,2.5,879.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
404,411,MSI,Gaming,17.3,16,256.0,Windows 10,2.8,2249.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
405,412,Asus,Ultrabook,14.0,8,512.0,Windows 10,1.1,1873.0,SSD,1920,1080,Full HD,2.7,Intel,Intel
406,413,Toshiba,Ultrabook,13.3,16,512.0,Windows 10,1.2,1747.0,SSD,1920,1080,Full HD,2.5,Intel,Intel
407,414,Dell,Ultrabook,14.0,8,512.0,Windows 10,1.36,1680.0,SSD,1920,1080,Full HD,2.8,Intel,Intel
408,415,Lenovo,Notebook,15.6,4,500.0,Windows 10,2.2,409.0,HDD,1920,1080,Full HD,2.0,Intel,Intel
409,416,Lenovo,Notebook,11.6,2,32.0,Windows 10,1.15,304.45,Flash,1366,768,Plain,1.1,Intel,Intel
410,417,Lenovo,Workstation,15.6,8,512.0,Windows 10,2.67,1925.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
411,418,Lenovo,Ultrabook,14.0,8,512.0,Windows 10,1.7,1943.0,SSD,2560,1440,IPS Panel,2.8,Nvidia,Intel
412,419,HP,Notebook,15.6,4,1024.0,Windows 10,2.1,469.0,HDD,1920,1080,Full HD,2.0,AMD,Intel
413,420,Acer,2 in 1 Convertible,13.3,8,256.0,Windows 10,1.6,789.01,SSD,1920,1080,IPS Panel,2.5,Intel,Intel
414,421,Asus,2 in 1 Convertible,13.3,8,256.0,Windows 10,1.27,928.0,SSD,1920,1080,IPS Panel,2.5,Intel,Intel
415,422,Dell,Notebook,15.6,4,256.0,Linux,2.3,598.9,SSD,1920,1080,Full HD,2.5,AMD,Intel
416,423,Dell,Notebook,13.3,4,128.0,Windows 10,1.65,689.0,SSD,1366,768,Plain,2.0,Intel,Intel
